race,gender,persona_string,persona_type,model,demographic(s),accuracy
Black,F,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackF,0.965
Asian,F,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianF,0.98
Middle-Eastern,F,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternF,0.9866666666666667
Hispanic,F,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicF,0.97
White,M,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteM,0.9666666666666667
Black,M,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackM,0.96
Asian,M,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianM,0.9716666666666667
Middle-Eastern,M,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternM,0.985
Hispanic,M,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicM,0.9766666666666667
White,N,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteN,0.9883333333333333
Black,N,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackN,0.975
Asian,N,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianN,0.9716666666666667
Middle-Eastern,N,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternN,0.9733333333333334
Hispanic,N,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicN,0.9716666666666667
White,F,interview,name,Llama-3.1-8B-Instruct,WhiteF,0.9421965317919075
Black,F,interview,name,Llama-3.1-8B-Instruct,BlackF,0.8959537572254336
Asian,F,interview,name,Llama-3.1-8B-Instruct,AsianF,0.9479768786127167
Middle-Eastern,F,interview,name,Llama-3.1-8B-Instruct,Middle-EasternF,0.9277456647398844
Hispanic,F,interview,name,Llama-3.1-8B-Instruct,HispanicF,0.9277456647398844
White,M,interview,name,Llama-3.1-8B-Instruct,WhiteM,0.9277456647398844
Black,M,interview,name,Llama-3.1-8B-Instruct,BlackM,0.9075144508670521
Asian,M,interview,name,Llama-3.1-8B-Instruct,AsianM,0.9335260115606936
Middle-Eastern,M,interview,name,Llama-3.1-8B-Instruct,Middle-EasternM,0.9046242774566474
Hispanic,M,interview,name,Llama-3.1-8B-Instruct,HispanicM,0.9277456647398844
White,N,interview,name,Llama-3.1-8B-Instruct,WhiteN,0.930635838150289
Black,N,interview,name,Llama-3.1-8B-Instruct,BlackN,0.9421965317919075
Asian,N,interview,name,Llama-3.1-8B-Instruct,AsianN,0.9190751445086706
Middle-Eastern,N,interview,name,Llama-3.1-8B-Instruct,Middle-EasternN,0.9161849710982659
Hispanic,N,interview,name,Llama-3.1-8B-Instruct,HispanicN,0.9450867052023122
White,F,interview,dem_descr,Llama-3.1-8B-Instruct,WhiteF,0.9581749049429658
Black,F,interview,dem_descr,Llama-3.1-8B-Instruct,BlackF,0.94106463878327
Asian,F,interview,dem_descr,Llama-3.1-8B-Instruct,AsianF,0.9486692015209125
Middle-Eastern,F,interview,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternF,0.9277566539923955
Hispanic,F,interview,dem_descr,Llama-3.1-8B-Instruct,HispanicF,0.9334600760456274
White,M,interview,dem_descr,Llama-3.1-8B-Instruct,WhiteM,0.9847908745247148
Black,M,interview,dem_descr,Llama-3.1-8B-Instruct,BlackM,0.9372623574144486
Asian,M,interview,dem_descr,Llama-3.1-8B-Instruct,AsianM,0.9467680608365019
Middle-Eastern,M,interview,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternM,0.9429657794676806
Hispanic,M,interview,dem_descr,Llama-3.1-8B-Instruct,HispanicM,0.9296577946768061
White,N,interview,dem_descr,Llama-3.1-8B-Instruct,WhiteN,0.9581749049429658
Black,N,interview,dem_descr,Llama-3.1-8B-Instruct,BlackN,0.9277566539923955
Asian,N,interview,dem_descr,Llama-3.1-8B-Instruct,AsianN,0.9049429657794676
Middle-Eastern,N,interview,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternN,0.9486692015209125
Hispanic,N,interview,dem_descr,Llama-3.1-8B-Instruct,HispanicN,0.9657794676806084
White,F,interview,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteF,0.9423076923076923
Black,F,interview,dem_cat+descr,Llama-3.1-8B-Instruct,BlackF,0.9337606837606838
Asian,F,interview,dem_cat+descr,Llama-3.1-8B-Instruct,AsianF,0.9273504273504274
Middle-Eastern,F,interview,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternF,0.9252136752136753
Hispanic,F,interview,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicF,0.9145299145299145
White,M,interview,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteM,0.9358974358974359
Black,M,interview,dem_cat+descr,Llama-3.1-8B-Instruct,BlackM,0.9273504273504274
Asian,M,interview,dem_cat+descr,Llama-3.1-8B-Instruct,AsianM,0.9423076923076923
Middle-Eastern,M,interview,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternM,0.9017094017094017
Hispanic,M,interview,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicM,0.9145299145299145
White,N,interview,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteN,0.9444444444444444
Black,N,interview,dem_cat+descr,Llama-3.1-8B-Instruct,BlackN,0.9316239316239316
Asian,N,interview,dem_cat+descr,Llama-3.1-8B-Instruct,AsianN,0.905982905982906
Middle-Eastern,N,interview,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternN,0.9337606837606838
Hispanic,N,interview,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicN,0.9252136752136753
White,F,2nd,name,gemma-3-27b-it,WhiteF,0.9649415692821369
Black,F,2nd,name,gemma-3-27b-it,BlackF,0.9565943238731218
Asian,F,2nd,name,gemma-3-27b-it,AsianF,0.9616026711185309
Middle-Eastern,F,2nd,name,gemma-3-27b-it,Middle-EasternF,0.9649415692821369
Hispanic,F,2nd,name,gemma-3-27b-it,HispanicF,0.9833055091819699
White,M,2nd,name,gemma-3-27b-it,WhiteM,0.9782971619365609
Black,M,2nd,name,gemma-3-27b-it,BlackM,0.9666110183639399
Asian,M,2nd,name,gemma-3-27b-it,AsianM,0.9682804674457429
Middle-Eastern,M,2nd,name,gemma-3-27b-it,Middle-EasternM,0.9849749582637729
Hispanic,M,2nd,name,gemma-3-27b-it,HispanicM,0.989983305509182
White,N,2nd,name,gemma-3-27b-it,WhiteN,0.9449081803005008
Black,N,2nd,name,gemma-3-27b-it,BlackN,0.9415692821368948
Asian,N,2nd,name,gemma-3-27b-it,AsianN,0.9265442404006677
Middle-Eastern,N,2nd,name,gemma-3-27b-it,Middle-EasternN,0.9599332220367279
Hispanic,N,2nd,name,gemma-3-27b-it,HispanicN,0.9599332220367279
White,F,2nd,dem_descr,gemma-3-27b-it,WhiteF,1.0
Black,F,2nd,dem_descr,gemma-3-27b-it,BlackF,1.0
Asian,F,2nd,dem_descr,gemma-3-27b-it,AsianF,0.9948006932409013
Middle-Eastern,F,2nd,dem_descr,gemma-3-27b-it,Middle-EasternF,0.9982668977469671
Hispanic,F,2nd,dem_descr,gemma-3-27b-it,HispanicF,0.9965337954939342
White,M,2nd,dem_descr,gemma-3-27b-it,WhiteM,1.0
Black,M,2nd,dem_descr,gemma-3-27b-it,BlackM,0.9930675909878682
Asian,M,2nd,dem_descr,gemma-3-27b-it,AsianM,0.9982668977469671
Middle-Eastern,M,2nd,dem_descr,gemma-3-27b-it,Middle-EasternM,0.9982668977469671
Hispanic,M,2nd,dem_descr,gemma-3-27b-it,HispanicM,0.9982668977469671
White,N,2nd,dem_descr,gemma-3-27b-it,WhiteN,0.9982668977469671
Black,N,2nd,dem_descr,gemma-3-27b-it,BlackN,0.9982668977469671
Asian,N,2nd,dem_descr,gemma-3-27b-it,AsianN,1.0
Middle-Eastern,N,2nd,dem_descr,gemma-3-27b-it,Middle-EasternN,1.0
Hispanic,N,2nd,dem_descr,gemma-3-27b-it,HispanicN,0.9982668977469671
White,F,2nd,dem_cat+descr,gemma-3-27b-it,WhiteF,1.0
Black,F,2nd,dem_cat+descr,gemma-3-27b-it,BlackF,0.9933333333333333
Asian,F,2nd,dem_cat+descr,gemma-3-27b-it,AsianF,0.9816666666666667
Middle-Eastern,F,2nd,dem_cat+descr,gemma-3-27b-it,Middle-EasternF,0.9966666666666667
Hispanic,F,2nd,dem_cat+descr,gemma-3-27b-it,HispanicF,0.9966666666666667
White,M,2nd,dem_cat+descr,gemma-3-27b-it,WhiteM,0.9983333333333333
Black,M,2nd,dem_cat+descr,gemma-3-27b-it,BlackM,0.9966666666666667
Asian,M,2nd,dem_cat+descr,gemma-3-27b-it,AsianM,1.0
Middle-Eastern,M,2nd,dem_cat+descr,gemma-3-27b-it,Middle-EasternM,0.9966666666666667
Hispanic,M,2nd,dem_cat+descr,gemma-3-27b-it,HispanicM,1.0
White,N,2nd,dem_cat+descr,gemma-3-27b-it,WhiteN,0.9966666666666667
Black,N,2nd,dem_cat+descr,gemma-3-27b-it,BlackN,0.9933333333333333
Asian,N,2nd,dem_cat+descr,gemma-3-27b-it,AsianN,0.995
Middle-Eastern,N,2nd,dem_cat+descr,gemma-3-27b-it,Middle-EasternN,0.9966666666666667
Hispanic,N,2nd,dem_cat+descr,gemma-3-27b-it,HispanicN,0.9983333333333333
White,F,3rd,name,gemma-3-27b-it,WhiteF,0.9566666666666667
Black,F,3rd,name,gemma-3-27b-it,BlackF,0.955
Asian,F,3rd,name,gemma-3-27b-it,AsianF,0.955
Middle-Eastern,F,3rd,name,gemma-3-27b-it,Middle-EasternF,0.95
Hispanic,F,3rd,name,gemma-3-27b-it,HispanicF,0.9666666666666667
White,M,3rd,name,gemma-3-27b-it,WhiteM,0.98
Black,M,3rd,name,gemma-3-27b-it,BlackM,0.98
Asian,M,3rd,name,gemma-3-27b-it,AsianM,0.975
Middle-Eastern,M,3rd,name,gemma-3-27b-it,Middle-EasternM,0.97
Hispanic,M,3rd,name,gemma-3-27b-it,HispanicM,0.9933333333333333
White,N,3rd,name,gemma-3-27b-it,WhiteN,0.9533333333333334
Black,N,3rd,name,gemma-3-27b-it,BlackN,0.9466666666666667
Asian,N,3rd,name,gemma-3-27b-it,AsianN,0.9466666666666667
Middle-Eastern,N,3rd,name,gemma-3-27b-it,Middle-EasternN,0.9316666666666666
Hispanic,N,3rd,name,gemma-3-27b-it,HispanicN,0.95
White,F,3rd,dem_descr,gemma-3-27b-it,WhiteF,0.9983333333333333
Black,F,3rd,dem_descr,gemma-3-27b-it,BlackF,0.9983333333333333
Asian,F,3rd,dem_descr,gemma-3-27b-it,AsianF,0.9983333333333333
Middle-Eastern,F,3rd,dem_descr,gemma-3-27b-it,Middle-EasternF,0.9983333333333333
Hispanic,F,3rd,dem_descr,gemma-3-27b-it,HispanicF,0.9983333333333333
White,M,3rd,dem_descr,gemma-3-27b-it,WhiteM,0.9983333333333333
Black,M,3rd,dem_descr,gemma-3-27b-it,BlackM,1.0
Asian,M,3rd,dem_descr,gemma-3-27b-it,AsianM,1.0
Middle-Eastern,M,3rd,dem_descr,gemma-3-27b-it,Middle-EasternM,1.0
Hispanic,M,3rd,dem_descr,gemma-3-27b-it,HispanicM,1.0
White,N,3rd,dem_descr,gemma-3-27b-it,WhiteN,1.0
Black,N,3rd,dem_descr,gemma-3-27b-it,BlackN,1.0
Asian,N,3rd,dem_descr,gemma-3-27b-it,AsianN,0.9933333333333333
Middle-Eastern,N,3rd,dem_descr,gemma-3-27b-it,Middle-EasternN,1.0
Hispanic,N,3rd,dem_descr,gemma-3-27b-it,HispanicN,1.0
White,F,3rd,dem_cat+descr,gemma-3-27b-it,WhiteF,1.0
Black,F,3rd,dem_cat+descr,gemma-3-27b-it,BlackF,0.9983333333333333
Asian,F,3rd,dem_cat+descr,gemma-3-27b-it,AsianF,0.995
Middle-Eastern,F,3rd,dem_cat+descr,gemma-3-27b-it,Middle-EasternF,0.9916666666666667
Hispanic,F,3rd,dem_cat+descr,gemma-3-27b-it,HispanicF,0.9966666666666667
White,M,3rd,dem_cat+descr,gemma-3-27b-it,WhiteM,0.9983333333333333
Black,M,3rd,dem_cat+descr,gemma-3-27b-it,BlackM,0.9983333333333333
Asian,M,3rd,dem_cat+descr,gemma-3-27b-it,AsianM,0.9983333333333333
Middle-Eastern,M,3rd,dem_cat+descr,gemma-3-27b-it,Middle-EasternM,0.9933333333333333
Hispanic,M,3rd,dem_cat+descr,gemma-3-27b-it,HispanicM,0.9966666666666667
White,N,3rd,dem_cat+descr,gemma-3-27b-it,WhiteN,0.9933333333333333
Black,N,3rd,dem_cat+descr,gemma-3-27b-it,BlackN,0.995
Asian,N,3rd,dem_cat+descr,gemma-3-27b-it,AsianN,0.9983333333333333
Middle-Eastern,N,3rd,dem_cat+descr,gemma-3-27b-it,Middle-EasternN,0.9933333333333333
Hispanic,N,3rd,dem_cat+descr,gemma-3-27b-it,HispanicN,0.9916666666666667
Black,F,interview,name,gemma-3-27b-it,BlackF,
Middle-Eastern,M,interview,name,gemma-3-27b-it,Middle-EasternM,
White,F,interview,name,gemma-3-27b-it,WhiteF,
Asian,F,interview,name,gemma-3-27b-it,AsianF,
Middle-Eastern,F,interview,name,gemma-3-27b-it,Middle-EasternF,
Hispanic,F,interview,name,gemma-3-27b-it,HispanicF,
White,M,interview,name,gemma-3-27b-it,WhiteM,
Black,M,interview,name,gemma-3-27b-it,BlackM,
Asian,M,interview,name,gemma-3-27b-it,AsianM,
Hispanic,M,interview,name,gemma-3-27b-it,HispanicM,
Black,N,interview,name,gemma-3-27b-it,BlackN,
White,N,interview,name,gemma-3-27b-it,WhiteN,
Middle-Eastern,N,interview,name,gemma-3-27b-it,Middle-EasternN,
Black,F,interview,dem_descr,gemma-3-27b-it,BlackF,0.9753086419753086
Asian,F,interview,dem_descr,gemma-3-27b-it,AsianF,0.9876543209876543
Middle-Eastern,F,interview,dem_descr,gemma-3-27b-it,Middle-EasternF,0.934156378600823
Hispanic,F,interview,dem_descr,gemma-3-27b-it,HispanicF,0.9547325102880658
Black,M,interview,dem_descr,gemma-3-27b-it,BlackM,0.9629629629629629
Hispanic,M,interview,dem_descr,gemma-3-27b-it,HispanicM,0.9794238683127572
White,N,interview,dem_descr,gemma-3-27b-it,WhiteN,0.9876543209876543
Black,N,interview,dem_descr,gemma-3-27b-it,BlackN,0.9588477366255144
Asian,N,interview,dem_descr,gemma-3-27b-it,AsianN,0.9670781893004116
Middle-Eastern,N,interview,dem_descr,gemma-3-27b-it,Middle-EasternN,0.9465020576131687
Hispanic,N,interview,dem_descr,gemma-3-27b-it,HispanicN,0.9423868312757202
White,F,interview,dem_descr,gemma-3-27b-it,WhiteF,0.9917695473251029
Middle-Eastern,M,interview,dem_descr,gemma-3-27b-it,Middle-EasternM,0.9835390946502057
White,M,interview,dem_descr,gemma-3-27b-it,WhiteM,0.9917695473251029
Asian,M,interview,dem_descr,gemma-3-27b-it,AsianM,0.9876543209876543
Black,F,interview,dem_cat+descr,gemma-3-27b-it,BlackF,0.9545454545454546
Asian,F,interview,dem_cat+descr,gemma-3-27b-it,AsianF,0.9242424242424242
Hispanic,F,interview,dem_cat+descr,gemma-3-27b-it,HispanicF,0.9090909090909091
Black,M,interview,dem_cat+descr,gemma-3-27b-it,BlackM,0.9848484848484849
Hispanic,M,interview,dem_cat+descr,gemma-3-27b-it,HispanicM,0.9696969696969697
Middle-Eastern,F,interview,dem_cat+descr,gemma-3-27b-it,Middle-EasternF,0.9545454545454546
Middle-Eastern,N,interview,dem_cat+descr,gemma-3-27b-it,Middle-EasternN,0.9848484848484849
Hispanic,N,interview,dem_cat+descr,gemma-3-27b-it,HispanicN,0.9696969696969697
White,F,interview,dem_cat+descr,gemma-3-27b-it,WhiteF,1.0
White,N,interview,dem_cat+descr,gemma-3-27b-it,WhiteN,0.9848484848484849
Black,N,interview,dem_cat+descr,gemma-3-27b-it,BlackN,0.9848484848484849
White,F,2nd,name,Llama-3.3-70B-Instruct,WhiteF,0.9733333333333334
Black,F,2nd,name,Llama-3.3-70B-Instruct,BlackF,0.955
Asian,F,2nd,name,Llama-3.3-70B-Instruct,AsianF,0.9733333333333334
Middle-Eastern,F,2nd,name,Llama-3.3-70B-Instruct,Middle-EasternF,0.9416666666666667
Hispanic,F,2nd,name,Llama-3.3-70B-Instruct,HispanicF,0.9816666666666667
White,M,2nd,name,Llama-3.3-70B-Instruct,WhiteM,0.98
Black,M,2nd,name,Llama-3.3-70B-Instruct,BlackM,0.97
Asian,M,2nd,name,Llama-3.3-70B-Instruct,AsianM,0.9733333333333334
Middle-Eastern,M,2nd,name,Llama-3.3-70B-Instruct,Middle-EasternM,0.9483333333333334
Hispanic,M,2nd,name,Llama-3.3-70B-Instruct,HispanicM,0.9833333333333333
White,N,2nd,name,Llama-3.3-70B-Instruct,WhiteN,0.9616666666666667
Black,N,2nd,name,Llama-3.3-70B-Instruct,BlackN,0.965
Asian,N,2nd,name,Llama-3.3-70B-Instruct,AsianN,0.9333333333333333
Middle-Eastern,N,2nd,name,Llama-3.3-70B-Instruct,Middle-EasternN,0.925
Hispanic,N,2nd,name,Llama-3.3-70B-Instruct,HispanicN,0.965
White,F,2nd,dem_descr,Llama-3.3-70B-Instruct,WhiteF,0.9916666666666667
Black,F,2nd,dem_descr,Llama-3.3-70B-Instruct,BlackF,0.9983333333333333
Asian,F,2nd,dem_descr,Llama-3.3-70B-Instruct,AsianF,1.0
Middle-Eastern,F,2nd,dem_descr,Llama-3.3-70B-Instruct,Middle-EasternF,0.9983333333333333
Hispanic,F,2nd,dem_descr,Llama-3.3-70B-Instruct,HispanicF,1.0
White,M,2nd,dem_descr,Llama-3.3-70B-Instruct,WhiteM,0.9966666666666667
Black,M,2nd,dem_descr,Llama-3.3-70B-Instruct,BlackM,1.0
Asian,M,2nd,dem_descr,Llama-3.3-70B-Instruct,AsianM,1.0
Middle-Eastern,M,2nd,dem_descr,Llama-3.3-70B-Instruct,Middle-EasternM,0.9983333333333333
Hispanic,M,2nd,dem_descr,Llama-3.3-70B-Instruct,HispanicM,1.0
White,N,2nd,dem_descr,Llama-3.3-70B-Instruct,WhiteN,1.0
Black,N,2nd,dem_descr,Llama-3.3-70B-Instruct,BlackN,0.9983333333333333
Asian,N,2nd,dem_descr,Llama-3.3-70B-Instruct,AsianN,0.995
Middle-Eastern,N,2nd,dem_descr,Llama-3.3-70B-Instruct,Middle-EasternN,1.0
Hispanic,N,2nd,dem_descr,Llama-3.3-70B-Instruct,HispanicN,0.9933333333333333
White,F,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,WhiteF,0.9983333333333333
Black,F,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,BlackF,1.0
Asian,F,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,AsianF,0.995
Middle-Eastern,F,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,Middle-EasternF,0.995
Hispanic,F,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,HispanicF,0.9966666666666667
White,M,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,WhiteM,1.0
Black,M,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,BlackM,0.9983333333333333
Asian,M,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,AsianM,0.9983333333333333
Middle-Eastern,M,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,Middle-EasternM,0.9983333333333333
Hispanic,M,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,HispanicM,0.9966666666666667
White,N,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,WhiteN,1.0
Black,N,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,BlackN,0.995
Asian,N,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,AsianN,0.9966666666666667
Middle-Eastern,N,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,Middle-EasternN,0.995
Hispanic,N,2nd,dem_cat+descr,Llama-3.3-70B-Instruct,HispanicN,0.99
White,F,3rd,name,Llama-3.3-70B-Instruct,WhiteF,0.9816666666666667
Black,F,3rd,name,Llama-3.3-70B-Instruct,BlackF,0.9583333333333334
Asian,F,3rd,name,Llama-3.3-70B-Instruct,AsianF,0.9316666666666666
Middle-Eastern,F,3rd,name,Llama-3.3-70B-Instruct,Middle-EasternF,0.9516666666666667
Hispanic,F,3rd,name,Llama-3.3-70B-Instruct,HispanicF,0.97
White,M,3rd,name,Llama-3.3-70B-Instruct,WhiteM,0.9883333333333333
Black,M,3rd,name,Llama-3.3-70B-Instruct,BlackM,0.9633333333333334
Asian,M,3rd,name,Llama-3.3-70B-Instruct,AsianM,0.975
Middle-Eastern,M,3rd,name,Llama-3.3-70B-Instruct,Middle-EasternM,0.96
Hispanic,M,3rd,name,Llama-3.3-70B-Instruct,HispanicM,0.9816666666666667
