race,gender,persona_string,persona_type,model,group,marked_words,classifier_words,amount_marked_words,amount_classifier_words
Hispanic,F,2nd,dem_descr,Llama-3.1-8B-Instruct,HispanicF,"['en', 'cultura', 'la', 'cada', 'sabor', 'amor', 'pasin', 'vida', 'latinx', 'vibrant', 'post', 'latinas', 'una', 'latina', 'love', 'recipes', 'corazn']","['amor', 'tortilla', 'vibrant', 'latinas', 'recipe', 'auténtica', 'abuela', 'love', 'mamá', 'explorando']",17,10
White,M,2nd,dem_descr,Llama-3.1-8B-Instruct,WhiteM,"['just', 'beer', 'outdoor', 'craft', 'guy', 'hiking', 'regular', 'trail', 'outdoors']","['outdoor', 'just', 'mountains', 'occasional', 'hiking', 'surfing', 'outdoorsman', 'cold', 'exploring', 'dream']",9,10
Black,M,2nd,dem_descr,Llama-3.1-8B-Instruct,BlackM,"['african', 'knowledge', 'justice', 'social', 'spreading', 'cultivating', 'diasporic', 'educator', 'advocate', 'positivity', 'post']","['diasporic', 'renaissance', 'soulful', 'hustling', 'verse', 'blackexcellence', 'music', 'lens', 'unity', 'digital']",11,10
Asian,M,2nd,dem_descr,Llama-3.1-8B-Instruct,AsianM,"['foodie', 'bowl', 'martial', 'arts', 'gamer', 'dumpling', 'tokyo', 'chef', 'sushi', 'ramen', 'food', 'karaoke', 'night', 'meets']","['gamer', 'states', 'page', 'chef', 'bowl', 'east', 'dude', 'byte', 'martial', 'dumpling']",14,10
Middle-Eastern,M,2nd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternM,"['savoring', 'dunes', 'tales', 'ancient', 'kebab', 'cardamom', 'sipping', 'sharing', 'spices', 'falafel', 'dubai', 'souks', 'lands', 'shawarma', 'east', 'traveling', 'middle', 'arabia', 'wisdom']","['kebab', 'sipping', 'shawarma', 'qahwa', 'falafel', 'traveler', 'hand', 'hospitality', 'amman', 'mornings']",19,10
Hispanic,M,2nd,dem_descr,Llama-3.1-8B-Instruct,HispanicM,"['la', 'latin', 'vida', 'pasin', 'sabor', 'vibes', 'cultura', 'en', 'soccer', 'viva', 'salsa', 'born', 'cada', 'raised', 'fanatic', 'beats', 'el', 'compartiendo', 'msica']","['soccer', 'vibes', 'día', 'music', 'beats', 'aventuras', 'foto', 'del', 'fuego', 'pasión']",19,10
White,N,2nd,dem_descr,Llama-3.1-8B-Instruct,WhiteN,"['artist', 'queer', 'growing', 'snob', 'learning', 'astrology', 'cat']","['sea', 'caffeine', 'found', 'nature', 'star', 'dweller', 'theory', 'caffeinated', 'starlight', 'pronoun']",7,10
Black,N,2nd,dem_descr,Llama-3.1-8B-Instruct,BlackN,"['artist', 'queer', 'activist', 'witch', 'writer', 'joy', 'astrology', 'magic', 'astrologer', 'justice']","['witch', 'joy', 'soul', 'poet', 'mystical', 'space', 'folx', 'dark', 'sailor', 'serving']",10,10
Asian,N,2nd,dem_descr,Llama-3.1-8B-Instruct,AsianN,"['queer', 'artist', 'kpop', 'tea', 'api', 'eating', 'stan', 'collecting', 'adult', 'noodles']","['api', 'eating', 'noodles', 'tea', 'collecting', 'trans', 'broken', 'weaving', 'noodle', 'kpop']",10,10
Middle-Eastern,N,2nd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternN,"['desert', 'queer', 'identity', 'artist', 'poet', 'palestinian', 'amal', 'arab', 'poetry', 'arabic', 'whispers', 'dweller', 'muslim']","['muslim', 'palestinian', 'ammanborn', 'story', 'ammanite', 'levant', 'arabamerican', 'amal', 'whispers', 'sahrawi']",13,10
Hispanic,N,2nd,dem_descr,Llama-3.1-8B-Instruct,HispanicN,"['latinx', 'artist', 'writer', 'chicana', 'chicano', 'pronouns', 'identity', 'snob', 'cosmos', 'queerness']","['chicana', 'chicano', 'mundane', 'es', 'astrologer', 'perfect', 'marginalized', 'communities', 'veins', 'identity']",10,10
White,F,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteF,"['sunkissed', 'bookworm', 'lover', 'books']","['sunkissed', 'california', 'light', 'coastal', 'sunset', 'wordsmith', 'fueled', 'beach', 'days', 'book']",4,10
Black,F,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackF,"['melanin', 'slaying', 'moment', 'sankofa', 'game', 'afrocentric', 'fetch', 'means', 'melanated', 'unapologetic', 'magic', 'excellence', 'afrofuturist', 'roots', 'reclaim', 'journey', 'im']","['sankofa', 'afrofeminist', 'sass', 'resilience', 'page', 'slaying', 'passions', 'musings', 'curating', 'book']",17,10
Asian,F,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianF,"['koreanamerican', 'foodie', 'kpop', 'bookworm', 'language']","['hapa', 'koreanamerican', 'singaporean', 'language', 'sushiloving', 'sushi', 'word', 'kpop', 'delicious', 'occasional']",5,10
Middle-Eastern,F,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternF,"['persian', 'spice', 'saffron', 'beauty', 'cardamom', 'wanderer', 'scents']","['blooms', 'spice', 'poetess', 'mosaic', 'sahar', 'persianamerican', 'mama', 'hijabi', 'beauty', 'lebaneseamerican']",7,10
Hispanic,F,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicF,"['latinx', 'positivity', 'love', 'post', 'sabor', 'spreading', 'en', 'la', 'latina', 'cultura', 'pasin', 'salsa', 'cada', 'romantic', 'hopeless', 'vida']","['vibrant', 'taco', 'storytelling', 'hispana', 'sabor', 'love', 'abuela', 'follow', 'southwest', 'passionate']",16,10
White,M,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteM,"['hiking', 'outdoor', 'great', 'trail', 'mountains', 'outdoors', 'climbing', 'camping', 'beer', 'mountain']","['hiking', 'aficionado', 'trail', 'states', 'mountains', 'climbing', 'just', 'outdoor', 'traveling', 'on']",10,10
Black,M,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackM,"['african', 'diasporic', 'excellence', 'social', 'knowledge', 'justice', 'afrocentric', 'post', 'melanated', 'thoughts', 'spreading', 'cultivating', 'educator', 'thinker']","['verse', 'roots', 'diasporic', 'king', 'afrobeat', 'empowering', 'social', 'renaissance', 'equality', 'power']",14,10
Asian,M,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianM,"['gamer', 'bowl', 'koreanamerican', 'foodie', 'ramen', 'dumpling', 'balance', 'dude', 'bibimbap', 'anime']","['vietnameseamerican', 'gamer', 'ramen', 'fusion', 'dude', 'koreanamerican', 'perpetual', 'coding', 'japanesecanadian', 'american']",10,10
Middle-Eastern,M,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternM,"['wanderer', 'dunes', 'intersection', 'persian', 'savoring', 'poet', 'dubai', 'heart', 'stories', 'arabic']","['mashreq', 'embracing', 'dweller', 'falafel', 'beyond', 'tehran', 'amir', 'kebab', 'dubai', 'traveler']",10,10
Hispanic,M,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicM,"['latin', 'soccer', 'vibes', 'fanatic', 'born', 'raised', 'taco', 'latinx', 'la', 'culture']","['soccer', 'tacos', 'taco', 'born', 'fullest', 'spreading', 'rhythms', 'mind', 'culture', 'thinker']",10,10
White,N,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteN,"['queer', 'artist', 'writer', 'learning']","['word', 'pixel', 'pop', 'inbetween', 'curiosity', 'exploring', 'tech', 'aspiring', 'time', 'mundane']",4,10
Black,N,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackN,"['joy', 'activist', 'writer', 'artist', 'femme', 'queer', 'intersectional', 'pronouns']","['joy', 'prose', 'truth', 'afrofuturist', 'images', 'liberation', 'futurist', 'affirmations', 'blacklivesmatter', 'margins']",8,10
Asian,N,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianN,"['artist', 'queer', 'korean', 'tea', 'api', 'collecting', 'koreanamerican', 'identity', 'american']","['api', 'stan', 'eating', 'american', 'acceptance', 'folx', 'fragments', 'fiction', 'puns', 'collecting']",9,10
Middle-Eastern,N,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternN,"['identity', 'artist', 'culture', 'writer', 'persian', 'queer', 'cosmos', 'weaving', 'queerness', 'navigating', 'technology', 'poet', 'intersections']","['accepted', 'please', 'tradition', 'palestinian', 'culture', 'nights', 'intersectionality', 'starry', 'amir', 'nomad']",13,10
Hispanic,N,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicN,"['latinx', 'artist', 'chicano', 'chicana', 'pronouns', 'identity', 'queerness', 'culture', 'writer', 'cosmos', 'advocate']","['chicano', 'latinxpride', 'chicana', 'queering', 'into', 'wanderer', 'tacos', 'artist', 'dash', 'literature']",11,10
White,F,3rd,name,Llama-3.1-8B-Instruct,WhiteF,"['teacher', 'spreading', 'night', 'day', 'bookworm']","['wandering', 'fulltime', 'favorite', 'dog', 'green', 'humor', 'musings', 'roam', 'librarian', 'kindness']",5,10
Black,F,3rd,name,Llama-3.1-8B-Instruct,BlackF,[],"['sassy', 'ghanaian', 'every', 'french', 'makeup', 'plate', 'small', 'where', 'cozy', 'author']",0,10
Asian,F,3rd,name,Llama-3.1-8B-Instruct,AsianF,"['foodie', 'cup']","['lattes', 'foods', 'yoga', 'teaching', 'vietnamese', 'selflove', 'recipes', 'cup', 'education', 'step']",2,10
Middle-Eastern,F,3rd,name,Llama-3.1-8B-Instruct,Middle-EasternF,[],"['colors', 'iranianamerican', 'twist', 'chai', 'activism', 'wellness', 'wonder', 'society', 'dish', 'next']",0,10
Hispanic,F,3rd,name,Llama-3.1-8B-Instruct,HispanicF,"['teacher', 'spreading', 'salsa', 'educator', 'lesson', 'dancer', 'night', 'day', 'joy', 'love']","['sunset', 'canvas', 'salsa', 'literacy', 'tidbits', 'cofounder', 'pinch', 'globetrotter', 'equation', 'great']",10,10
White,M,3rd,name,Llama-3.1-8B-Instruct,WhiteM,[],"['retired', 'jokes', 'note', 'maker', 'historian', 'engineer', 'avid', 'laidback', 'fullest', 'gaming']",0,10
Black,M,3rd,name,Llama-3.1-8B-Instruct,BlackM,['small'],"['cofounder', 'memories', 'west', 'sentence', 'ghanaian', 'small', 'reality', 'adventurous', 'everything', 'cultivating']",1,10
Asian,M,3rd,name,Llama-3.1-8B-Instruct,AsianM,"['foodie', 'byte', 'vietnamese']","['eats', 'thought', 'meal', 'dumpling', 'east', 'software', 'indian', 'hanoi', 'pho', 'eating']",3,10
Middle-Eastern,M,3rd,name,Llama-3.1-8B-Instruct,Middle-EasternM,[],"['thread', 'politics', 'idea', 'connection', 'iranian', 'curiosities', 'architect', 'mind', 'innovation', 'delight']",0,10
Hispanic,M,3rd,name,Llama-3.1-8B-Instruct,HispanicM,"['taco', 'foodie', 'latin']","['taco', 'lets', 'la', 'lifelong', 'move', 'fiesta', 'warrior', 'taste', 'gamer', 'lifestyle']",3,10
White,N,3rd,name,Llama-3.1-8B-Instruct,WhiteN,"['artist', 'writer', 'astrophysicist']","['scholar', 'witty', 'intergalactic', 'maker', 'stargazing', 'historian', 'makeup', 'documenting', 'scheming', 'chronicling']",3,10
Black,N,3rd,name,Llama-3.1-8B-Instruct,BlackN,"['artist', 'identity', 'writer']","['artistic', 'keeper', 'sociologist', 'imagination', 'opinions', 'minds', 'fuelled', 'commentator', 'norms', 'slaying']",3,10
Asian,N,3rd,name,Llama-3.1-8B-Instruct,AsianN,"['artist', 'activist', 'intersections', 'identity', 'technology', 'queer']","['selfdiscovery', 'hopeless', 'astrologer', 'making', 'inclusive', 'lattes', 'up', 'astrobiologist', 'its', 'code']",6,10
Middle-Eastern,N,3rd,name,Llama-3.1-8B-Instruct,Middle-EasternN,"['artist', 'writer', 'identity', 'social', 'justice', 'words', 'intersections']","['uncharted', 'not', 'inbetween', 'lost', 'turkish', 'technicolor', 'free', 'cultivating', 'astrophysicist', 'unknown']",7,10
Hispanic,N,3rd,name,Llama-3.1-8B-Instruct,HispanicN,"['artist', 'activist', 'justice', 'advocate', 'social']","['eternal', 'streets', 'piece', 'sparking', 'reality', 'vibrant', 'unapologetic', 'tea', 'plant', 'painter']",5,10
White,F,3rd,dem_descr,Llama-3.1-8B-Instruct,WhiteF,"['sunkissed', 'bookworm', 'coffeefueled', 'girl', 'lover', 'dog', 'mom', 'luna', 'coastal']","['sunkissed', 'full', 'dog', 'coastal', 'beach', 'lover', 'coffee', 'coffeefueled', 'traveler', 'soaking']",9,10
Black,F,3rd,dem_descr,Llama-3.1-8B-Instruct,BlackF,"['slaying', 'melanin', 'moment', 'game', 'afrofuturist', 'melanated', 'sankofa', 'educator', 'unapologetic', 'magic', 'truth', 'writer', 'afrocentric']","['slaying', 'sankofa', 'curating', 'melody', 'selflove', 'empowering', 'diasporic', 'self', 'selfcare', 'space']",13,10
Asian,F,3rd,dem_descr,Llama-3.1-8B-Instruct,AsianF,"['matcha', 'tokyo', 'sushi', 'foodie', 'cup', 'kawaii', 'yogi', 'yoga', 'tea', 'wanderlust']","['matcha', 'kawaii', 'wanderlusting', 'fullest', 'sushi', 'yogi', 'pho', 'yoga', 'noodles', 'tea']",10,10
Middle-Eastern,F,3rd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternF,"['savoring', 'spices', 'middle', 'cardamom', 'east', 'storyteller', 'intersection', 'blogger', 'henna', 'scents', 'cup', 'stories', 'tradition', 'sweetness']","['markets', 'sahar', 'sweetness', 'henna', 'cairo', 'hijab', 'beirut', 'sahara', 'blooms', 'intersection']",14,10
Hispanic,F,3rd,dem_descr,Llama-3.1-8B-Instruct,HispanicF,"['en', 'latinx', 'la', 'cada', 'pasin', 'sabor', 'love', 'latina', 'cultura', 'foodie', 'amor', 'sharing', 'salsa', 'post', 'culture', 'vida', 'spreading', 'recipes']","['lifestyle', 'momento', 'abuela', 'fiesta', 'hispanicpride', 'sonnet', 'love', 'vibrant', 'compartiendo', 'passion']",18,10
White,M,3rd,dem_descr,Llama-3.1-8B-Instruct,WhiteM,"['hiking', 'outdoor', 'mountain', 'camping', 'beer', 'outdoors', 'craft', 'great', 'bum']","['surfing', 'hiking', 'just', 'curiosity', 'outdoors', 'mountains', 'mountain', 'outdoor', 'waves', 'hike']",9,10
Black,M,3rd,dem_descr,Llama-3.1-8B-Instruct,BlackM,"['dreams', 'music', 'post', 'positivity', 'spreading', 'cultivating', 'hustling', 'excellence', 'entrepreneur', 'producer']","['celebrating', 'bar', 'music', 'hustling', 'equality', 'musician', 'grind', 'dreams', 'verse', 'cultivating']",10,10
Asian,M,3rd,dem_descr,Llama-3.1-8B-Instruct,AsianM,"['tokyo', 'ramen', 'sushi', 'chef', 'bowl', 'karaoke', 'dumpling', 'foodie', 'gamer', 'night', 'king', 'cultures', 'native']","['gamer', 'karaoke', 'dumpling', 'martial', 'arts', 'west', 'flavors', 'intersection', 'photographer', 'cultures']",13,10
Middle-Eastern,M,3rd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternM,"['shawarma', 'savoring', 'dubai', 'dunes', 'cardamom', 'kebab', 'souks', 'sipping', 'falafel', 'riyadh']","['kebab', 'shawarma', 'middleeasternvibes', 'dubai', 'hashtag', 'innovation', 'persian', 'amman', 'falafel', 'traveldiaries']",10,10
Hispanic,M,3rd,dem_descr,Llama-3.1-8B-Instruct,HispanicM,"['latin', 'la', 'soccer', 'en', 'born', 'vida', 'salsa', 'sabor', 'pasin', 'vibes', 'raised', 'cada', 'fanatic', 'taco']","['taco', 'taza', 'soccer', 'loca', 'viviendo', 'vibran', 'vez', 'salsa', 'viajero', 'vibes']",14,10
White,N,3rd,dem_descr,Llama-3.1-8B-Instruct,WhiteN,"['artist', 'astrologer', 'queer', 'snob', 'learning']","['void', 'sunshine', 'technology', 'pixel', 'chaotic', 'sea', 'here', 'gardener', 'find', 'weird']",5,10
Black,N,3rd,dem_descr,Llama-3.1-8B-Instruct,BlackN,"['queer', 'artist', 'astrologer', 'activist', 'witch', 'magic', 'joy', 'tarot', 'astrology']","['witch', 'social', 'solidarity', 'iconoclast', 'live', 'bold', 'thought', 'veins', 'crises', 'acceptance']",9,10
Asian,N,3rd,dem_descr,Llama-3.1-8B-Instruct,AsianN,"['queer', 'artist', 'tea', 'kpop', 'eating', 'anime', 'collecting']","['api', 'collecting', 'kpop', 'anime', 'eating', 'latte', 'broken', 'american', 'tea', 'noodles']",7,10
Middle-Eastern,N,3rd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternN,"['desert', 'identity', 'queer', 'artist', 'poet', 'dweller', 'dunes', 'palestinian', 'whispers', 'intersections', 'queerness']","['ammanite', 'desert', 'nomad', 'deserts', 'persian', 'mashriq', 'coffeefueled', 'belonging', 'palestinian', 'arabian']",11,10
Hispanic,N,3rd,dem_descr,Llama-3.1-8B-Instruct,HispanicN,"['latinx', 'artist', 'chicana', 'chicano', 'identity', 'pronouns', 'writer']","['chicana', 'chicano', 'literature', 'spilling', 'astrology', 'plant', 'theory', 'justicia', 'wannabe', 'puerto']",7,10
White,F,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteF,"['sunkissed', 'bookworm', 'coffeefueled', 'books', 'dog']","['sunkissed', 'latte', 'yogi', 'bookworm', 'coastal', 'travel', '25', 'skincare', 'views', 'beach']",5,10
Black,F,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackF,"['slaying', 'melanin', 'moment', 'game', 'magic', 'afrofuturist', 'afrocentric', 'sankofa', 'girl', 'melanated', 'afrofuturism', 'unapologetic']","['slaying', 'sankofa', 'empowering', 'afro', 'afrofuturist', 'melaninfilled', 'melaninrich', 'afrofeminist', 'moment', 'selflove']",12,10
Asian,F,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianF,"['kpop', 'koreanamerican', 'foodie', 'dumpling', 'adult', 'tea']","['sushiloving', 'selfdiscovery', 'kimchi', 'southeast', 'koreanamerican', 'matcha', 'bubble', 'sushi', 'tea', 'being']",6,10
Middle-Eastern,F,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternF,"['saffron', 'culture', 'intersection', 'identity', 'persian', 'scents', 'wanderer', 'stories']","['lebanese', 'henna', 'hijab', 'spices', 'nyc', 'two', 'hijabi', 'arabamerican', 'hand', 'making']",8,10
Hispanic,F,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicF,"['post', 'spreading', 'latinx', 'love', 'positivity', 'en', 'latina', 'sabor', 'cada', 'pasin', 'salsa', 'momento', 'la', 'romantic', 'vida', 'hopeless']","['latinas', 'best', 'amor', 'queen', 'solidarity', 'momento', 'mind', 'boricua', 'dance', 'storytelling']",16,10
White,M,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteM,"['hiking', 'outdoors', 'great', 'camping', 'outdoor', 'mountains', 'mountain', 'climbing', 'trail', 'summit']","['hiking', 'conversation', 'mountains', 'capturing', 'outdoors', 'climbing', 'outdoor', 'lifes', 'back', 'hiker']",10,10
Black,M,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackM,"['african', 'afrobeat', 'producer', 'excellence', 'beat', 'dreams', 'verse', 'diasporic']","['afrobeat', 'verse', 'equality', 'curator', 'hustling', 'king', 'storytelling', 'diasporic', 'championing', 'urban']",8,10
Asian,M,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianM,"['ramen', 'gamer', 'bowl', 'tokyo', 'sushi', 'chef', 'cultures', 'dumpling', 'koreanamerican', 'foodie', 'night']","['gamer', '3rd', 'dumpling', 'beyond', 'cultures', 'zen', 'brushstroke', 'aspiring', 'ramen', 'meets']",11,10
Middle-Eastern,M,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternM,"['intersection', 'dubai', 'kebab', 'dunes', 'savoring', 'middle', 'tradition', 'falafel']","['kebab', 'traveling', 'rhythm', 'shawarma', 'tradition', 'traveler', 'technology', 'history', 'nights', 'dunes']",8,10
Hispanic,M,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicM,"['soccer', 'latin', 'taco', 'born', 'fanatic', 'raised', 'vibes', 'la', 'salsa', 'pride']","['barrio', 'soccer', 'taco', 'hispanicpride', 'seeker', 'pride', 'raised', 'salsa', 'loving', 'sun']",10,10
White,N,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteN,"['queer', 'artist', 'learning']","['person', 'existence', 'when', 'radical', 'language', 'mystic', 'code', 'pixel', 'please', 'star']",3,10
Black,N,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackN,"['joy', 'activist', 'artist', 'writer', 'astrology', 'justice', 'queer', 'pronouns']","['joy', 'vibin', 'folx', 'creating', 'afrofuturism', 'astrology', 'only', 'creativity', 'storytelling', 'everyday']",8,10
Asian,N,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianN,"['korean', 'queer', 'tea', 'artist', 'stan', 'api', 'kpop', 'american', 'adult', 'intersectionality']","['stan', 'api', 'american', 'laughter', 'cup', 'mess', 'koreanjapanese', 'koreanamerican', 'brushstroke', 'collecting']",10,10
Middle-Eastern,N,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternN,"['desert', 'queer', 'persian', 'identity', 'artist', 'poet', 'culture', 'writer', 'queerness', 'arab', 'diaspora', 'dweller']","['freelance', 'belonging', 'weaver', 'desert', 'spaces', 'saffron', 'deserts', 'hijinks', 'inclusivity', 'tradition']",12,10
Hispanic,N,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicN,"['latinx', 'artist', 'identity', 'activist', 'chicano', 'pronouns', 'queerness', 'culture', 'chicana', 'cosmos', 'art', 'representation', 'using']","['chicano', 'chicana', 'looks', 'identidad', 'poem', 'representation', 'uplift', 'lowkey', 'solidarity', 'roots']",13,10
White,F,interview,name,Llama-3.1-8B-Instruct,WhiteF,[],"['dog', 'freelance', 'english', 'time', 'truth', 'fueled', 'occasional', 'book', 'journalist', 'worker']",0,10
Black,F,interview,name,Llama-3.1-8B-Instruct,BlackF,[],"['personality', 'realms', 'cultures', 'space', 'content', 'page', 'worker', 'food', 'photographer', 'casual']",0,10
Asian,F,interview,name,Llama-3.1-8B-Instruct,AsianF,[],"['line', 'philosophy', 'language', 'post', 'hi', 'rights', 'destination', 'coffee', 'reading', 'culture']",0,10
Middle-Eastern,F,interview,name,Llama-3.1-8B-Instruct,Middle-EasternF,[],"['wonders', 'move', 'choice', 'recipes', 'every', 'up', 'night', 'rights', 'creating', 'sustainability']",0,10
Hispanic,F,interview,name,Llama-3.1-8B-Instruct,HispanicF,[],"['sunsets', 'lifestyle', 'teaching', 'development', 'specialist', 'teacher', 'up', 'foodie', 'manager', 'environmental']",0,10
White,M,interview,name,Llama-3.1-8B-Instruct,WhiteM,[],"['im', 'sunsets', 'society', 'years', 'books', 'not', 'story', 'learn', 'its', 'answering']",0,10
Black,M,interview,name,Llama-3.1-8B-Instruct,BlackM,[],"['just', 'producer', 'complexities', 'innovator', 'depths', 'challenge', 'music', 'entrepreneur', 'connoisseur', 'selfimprovement']",0,10
Asian,M,interview,name,Llama-3.1-8B-Instruct,AsianM,[],"['parttime', 'chef', 'turned', 'occasional', 'global', 'through', 'lifelong', 'simple', 'adventures', 'expert']",0,10
